month,hour,temperature_c,humidity_pct,pressure_hpa,wind_speed_kmh,cloud_cover_pct,uv_index,weather_condition,next_temp_c
3,17,4.1,76.6,1027.1,35.8,30.1,3.4,Sunny,5.1
1,20,-1.2,96.6,997.3,32.5,82.9,0.8,Snowy,-1.6
4,3,10.2,63.3,1019.4,37.8,69.2,0.0,Cloudy,12.2
2,9,-3.6,90.9,992.9,37.4,82.3,3.0,Snowy,-2.0
8,6,21.9,44.6,1002.9,19.7,61.4,0.0,Cloudy,24.4
4,21,14.2,67.3,998.4,50.8,63.1,0.0,Cloudy,14.6
2,22,-3.1,87.4,1022.4,26.6,30.8,0.1,Sunny,-3.5
6,0,30.4,30.0,1012.2,20.9,23.7,0.0,Sunny,29.7
6,16,22.6,64.4,1012.8,16.9,55.0,3.6,Cloudy,23.7
10,23,12.0,76.3,999.7,32.9,87.1,0.0,Rainy,11.8
4,1,5.5,70.7,1009.4,20.6,78.3,0.0,Rainy,5.0
6,10,30.2,44.7,1003.8,14.2,89.2,2.4,Cloudy,29.9
2,8,1.6,87.9,1017.6,20.5,58.4,1.9,Cloudy,0.9
10,6,6.1,82.3,1001.1,15.7,65.5,0.0,Rainy,6.9
12,21,-0.8,69.2,1029.0,29.8,31.3,0.0,Sunny,-2.8
2,16,-2.4,98.6,992.9,30.3,95.2,1.1,Snowy,-1.3
10,16,19.6,49.9,1003.3,26.5,63.3,3.8,Cloudy,21.3
4,1,7.4,70.3,1033.1,38.8,0.0,0.0,Sunny,6.9
8,5,22.4,77.7,1007.8,22.1,97.8,0.0,Rainy,26.4
7,13,36.0,34.0,997.2,33.2,60.3,5.0,Cloudy,36.6
12,5,-2.9,85.5,1015.6,10.3,30.6,0.0,Sunny,-5.2
9,1,13.8,42.3,1007.3,16.8,27.5,1.1,Sunny,13.8
8,0,15.4,75.8,1003.0,31.4,80.3,0.0,Rainy,16.0
5,9,17.7,45.0,999.8,36.3,68.9,3.0,Cloudy,19.0
2,20,4.6,68.0,1046.2,42.7,0.0,0.5,Sunny,4.7
5,4,19.5,52.4,1010.0,3.4,51.9,0.5,Cloudy,18.2
8,1,17.4,73.1,989.9,33.9,56.6,0.1,Cloudy,15.9
10,21,10.6,76.8,1030.9,41.9,25.5,0.0,Sunny,10.0
9,15,21.2,51.7,1020.3,30.5,41.8,6.4,Cloudy,20.7
12,1,-1.2,89.9,1003.8,15.6,68.5,0.0,Snowy,-2.8
12,9,4.1,72.9,1001.8,27.9,45.2,3.9,Cloudy,3.3
12,1,1.8,83.6,1021.1,36.4,48.6,0.0,Cloudy,3.5
9,15,21.3,53.8,1010.0,18.9,33.0,5.1,Sunny,24.7
1,15,2.3,91.3,989.9,51.1,100.0,1.8,Stormy,4.1
9,18,22.9,60.3,1034.4,45.7,0.0,1.2,Sunny,25.8
7,6,25.6,51.6,1007.8,11.0,32.3,0.0,Sunny,27.8
9,21,16.6,56.5,1030.9,32.0,0.0,0.0,Sunny,18.6
8,11,24.9,55.1,1028.3,30.7,18.1,9.1,Sunny,24.8
1,23,-2.7,88.2,1001.0,27.2,77.3,0.0,Snowy,-2.0
12,14,8.8,61.0,1025.4,34.2,6.3,8.4,Sunny,8.5
8,7,18.9,52.6,1005.2,24.7,51.5,1.3,Cloudy,19.0
8,5,25.3,47.9,990.6,15.4,82.5,0.0,Cloudy,25.9
11,9,11.2,77.3,1007.9,7.6,58.5,3.1,Cloudy,13.0
3,2,-0.5,83.9,1017.8,0.2,55.6,0.0,Cloudy,0.8
1,18,1.3,70.9,1007.4,20.1,62.1,0.5,Snowy,1.5
8,16,31.5,38.3,1009.3,18.3,14.2,6.0,Sunny,32.1
3,6,-1.4,88.3,1026.7,30.7,72.1,0.0,Snowy,-0.2
3,20,5.1,79.2,1014.3,5.9,46.4,0.0,Cloudy,6.8
1,19,-9.1,100.0,1002.9,29.5,95.0,0.0,Snowy,-11.3
11,3,2.7,91.1,1021.4,27.8,62.7,0.5,Rainy,1.3
5,13,18.5,51.2,1015.4,4.8,30.2,8.3,Sunny,21.0
10,19,19.6,49.5,982.7,36.6,89.1,0.0,Cloudy,20.0
7,21,23.1,39.9,1018.1,18.2,23.9,0.7,Sunny,22.9
10,14,17.2,66.3,1017.7,32.0,18.1,7.8,Sunny,17.2
9,23,12.2,81.1,1013.2,25.9,51.4,0.0,Cloudy,12.3
12,7,-2.8,86.1,1023.7,29.3,35.0,2.6,Sunny,-1.3
7,20,31.7,35.1,1004.9,15.8,29.7,0.3,Sunny,30.2
9,14,15.0,77.1,1017.0,23.9,28.3,7.1,Sunny,15.6
8,21,27.7,48.5,994.2,30.9,79.1,0.3,Cloudy,28.6
12,19,2.8,85.2,1017.9,11.7,76.3,0.1,Rainy,4.0
2,13,0.8,71.8,1036.4,23.0,29.8,7.4,Sunny,1.7
1,8,-6.3,100.0,1001.1,27.1,100.0,0.1,Snowy,-4.9
7,7,31.2,29.0,1003.9,17.9,28.8,1.7,Sunny,30.6
7,16,27.4,32.5,1004.5,23.0,26.0,5.5,Sunny,26.2
8,1,13.7,61.0,1014.6,0.0,28.7,0.0,Sunny,18.6
5,23,19.3,50.2,1000.2,28.7,63.9,0.5,Cloudy,19.3
3,2,0.4,82.3,1018.1,0.0,53.4,0.2,Cloudy,0.5
12,7,-5.4,78.7,1023.2,32.9,38.7,1.2,Sunny,-3.7
8,11,29.2,50.7,1019.4,23.9,45.3,5.2,Cloudy,32.6
6,0,14.8,74.0,991.8,35.2,89.7,0.0,Rainy,14.3
11,9,11.0,49.1,1024.9,30.8,3.9,6.2,Sunny,9.7
3,19,10.8,78.6,1024.2,17.7,27.9,0.2,Sunny,9.1
1,2,-5.9,85.7,1023.0,24.5,55.3,0.0,Cloudy,-2.5
3,5,2.2,90.3,1017.5,23.7,72.1,0.0,Rainy,0.8
5,6,23.0,49.7,1015.6,0.0,39.1,0.5,Sunny,23.5
3,19,6.6,75.5,1025.4,23.3,62.7,0.1,Rainy,5.3
1,22,-9.7,97.7,1036.1,39.5,58.3,0.0,Cloudy,-11.8
5,17,25.0,59.6,1001.6,24.2,65.5,2.1,Cloudy,25.0
10,10,23.3,37.6,1025.9,39.2,0.0,8.9,Sunny,22.2
7,18,24.9,53.7,1012.0,4.3,19.5,2.2,Sunny,24.2
7,4,19.4,67.0,1011.4,8.9,43.4,0.3,Cloudy,23.5
11,18,9.7,77.7,994.6,18.8,93.3,0.2,Rainy,10.9
9,10,21.8,75.6,1009.6,28.2,85.4,2.9,Rainy,24.0
10,23,3.8,74.0,1001.0,24.4,76.0,1.2,Rainy,5.8
10,11,20.7,63.5,1007.4,15.2,70.3,3.5,Cloudy,21.0
12,9,10.7,67.9,999.8,27.4,63.6,2.5,Cloudy,10.4
3,7,4.2,91.0,1007.6,23.6,81.1,0.9,Rainy,5.2
7,23,18.1,57.7,1008.1,20.6,60.1,0.4,Cloudy,18.9
1,8,-8.2,93.4,1014.2,34.6,34.0,3.3,Sunny,-8.7
4,3,7.2,87.2,993.6,38.9,83.9,0.0,Rainy,8.0
4,4,11.2,63.3,995.7,29.1,84.5,0.0,Cloudy,10.4
5,20,20.9,39.5,1017.3,12.7,25.3,0.3,Sunny,21.1
7,7,24.4,43.2,1003.4,20.3,26.6,1.7,Sunny,24.3
7,22,20.6,60.2,1025.9,15.5,0.0,0.3,Sunny,18.9
11,8,0.6,98.0,1015.7,15.6,59.0,2.9,Cloudy,-3.1
4,14,21.3,54.1,1020.3,27.0,25.9,7.5,Sunny,20.1
7,14,35.7,44.7,1029.9,27.4,0.0,9.3,Sunny,39.4
11,15,4.6,64.5,1009.3,10.0,52.9,5.0,Cloudy,4.6
3,13,17.2,54.8,1006.1,32.4,56.3,4.8,Cloudy,19.1
6,7,24.9,44.8,1023.5,13.1,25.7,1.4,Sunny,21.5
12,17,9.7,69.3,1019.1,2.8,4.0,4.4,Sunny,8.4
2,9,-3.9,91.8,1010.8,5.5,47.9,3.7,Cloudy,-5.9
10,19,8.1,79.8,1029.7,19.7,26.2,0.0,Sunny,8.2
9,5,14.2,59.3,1010.5,18.1,53.9,0.9,Cloudy,19.0
5,11,25.3,48.5,1013.4,9.6,40.7,7.3,Cloudy,26.6
6,1,25.5,46.3,1013.3,10.5,39.1,0.0,Sunny,29.1
12,6,-0.3,76.2,1001.8,34.7,64.4,0.0,Snowy,-0.3
12,15,4.7,76.8,1013.9,7.6,47.5,4.9,Cloudy,7.7
12,2,-10.2,98.9,1029.8,38.3,33.2,0.6,Sunny,-6.0
12,12,10.0,68.4,1018.3,30.5,51.4,6.3,Cloudy,10.3
4,2,2.1,82.1,1013.4,8.8,43.1,0.0,Cloudy,1.7
11,17,15.8,62.1,1011.1,20.2,59.1,2.6,Cloudy,13.9
10,10,13.9,59.9,1017.0,14.8,39.1,4.9,Sunny,13.8
7,7,30.8,51.5,1022.0,30.2,21.9,2.8,Sunny,31.5
12,5,-1.7,75.8,1020.3,8.2,32.2,0.2,Sunny,2.5
9,0,13.3,57.9,1009.0,3.6,26.2,0.0,Sunny,11.4
7,0,18.7,84.7,1016.9,13.5,43.7,0.0,Cloudy,19.3
1,22,-6.4,84.2,1018.8,11.8,45.3,0.0,Cloudy,-9.1
1,7,-1.8,74.2,1000.9,22.4,34.5,2.0,Sunny,-2.1
9,4,14.1,71.2,1015.0,12.7,43.8,0.5,Cloudy,15.2
11,15,8.4,51.6,987.1,48.9,88.9,1.6,Cloudy,9.8
9,10,21.3,50.6,1018.8,15.7,35.3,6.7,Sunny,22.9
4,4,7.1,95.8,1020.9,14.9,47.7,0.8,Cloudy,8.3
9,3,4.7,62.5,1022.0,20.0,31.0,0.0,Sunny,6.2
3,5,2.6,61.3,1008.3,11.5,41.7,0.0,Cloudy,3.2
7,13,27.9,28.2,1016.7,9.0,16.4,9.4,Sunny,26.5
6,21,18.0,67.0,1030.1,19.6,44.4,0.6,Cloudy,15.1
8,18,20.4,65.7,1030.0,32.9,35.1,1.5,Sunny,19.9
11,8,-2.2,83.1,1012.6,7.9,66.5,2.5,Snowy,-1.9
9,11,17.8,65.1,1014.7,21.7,35.7,8.1,Sunny,20.6
5,10,19.2,70.2,1026.3,16.4,40.4,5.5,Cloudy,19.5
1,13,11.6,85.5,995.0,29.3,61.5,4.5,Rainy,11.8
3,22,-0.1,82.7,1009.1,31.2,59.9,0.1,Cloudy,1.1
10,15,18.5,34.2,1029.0,23.7,8.7,7.8,Sunny,18.5
12,0,-3.7,82.4,1024.7,24.2,51.2,0.0,Cloudy,-1.8
8,12,29.8,36.0,1017.4,7.6,28.6,7.8,Sunny,33.9
11,22,1.7,79.9,994.9,22.9,87.4,0.0,Snowy,6.1
6,20,19.3,54.1,1012.4,25.1,35.8,0.0,Sunny,20.0
8,20,29.9,51.3,1005.9,21.9,54.6,0.4,Cloudy,31.0
9,12,31.4,50.6,1017.0,17.8,15.2,7.8,Sunny,34.8
4,1,-0.5,84.1,1003.3,10.1,60.7,0.5,Snowy,-0.3
1,3,-11.9,100.0,1000.7,29.6,89.4,0.0,Snowy,-10.2
1,5,-7.4,99.6,988.2,51.0,100.0,0.0,Stormy,-8.9
10,22,5.1,77.9,1027.7,38.8,5.2,0.0,Sunny,5.1
4,4,8.8,80.8,1008.2,23.1,70.6,0.1,Rainy,11.4
12,2,-9.0,99.3,1014.9,5.2,78.3,0.7,Snowy,-9.8
7,0,29.5,61.4,1013.0,14.5,41.8,0.0,Cloudy,29.7
2,3,-1.2,72.4,1000.2,32.7,100.0,0.0,Snowy,-3.5
3,19,7.4,68.7,997.9,15.8,60.5,0.3,Cloudy,11.5
1,1,-3.7,89.3,1000.9,17.5,75.2,0.0,Snowy,-0.9
5,4,18.2,62.1,1004.3,29.5,50.5,0.1,Cloudy,19.1
1,2,-10.3,100.0,1017.4,24.3,62.3,0.0,Snowy,-8.8
8,8,20.9,53.5,1003.5,11.1,46.8,2.9,Cloudy,22.1
1,19,-0.1,71.0,1034.0,43.5,0.0,0.0,Sunny,2.9
11,5,4.2,87.1,1025.3,27.6,34.3,0.0,Sunny,3.8
1,17,2.8,88.4,1022.7,29.9,45.8,3.0,Cloudy,4.6
2,5,-10.7,81.6,1011.6,8.6,77.7,0.1,Snowy,-8.2
2,18,-0.3,85.5,1031.2,39.0,65.6,1.7,Snowy,2.4
12,11,3.8,63.4,1010.4,21.9,68.3,3.2,Cloudy,0.3
6,10,26.8,38.1,1012.6,9.6,15.6,7.1,Sunny,26.2
7,1,28.1,33.8,1015.0,14.6,10.2,0.0,Sunny,26.8
5,14,19.5,63.9,1021.4,16.9,29.7,7.5,Sunny,20.2
1,11,4.3,79.8,1020.6,34.4,71.1,4.2,Rainy,1.1
1,11,8.2,59.8,1007.3,17.9,48.0,5.9,Cloudy,5.0
3,8,14.1,72.7,1006.6,12.3,40.6,2.7,Cloudy,18.5
2,20,-1.7,73.3,1020.7,15.5,32.3,0.4,Sunny,-0.1
5,23,16.7,63.2,1021.6,23.3,42.7,0.0,Cloudy,17.4
12,1,-3.6,82.3,1008.3,23.7,75.1,0.0,Snowy,-2.5
10,21,11.2,64.5,994.0,24.2,70.7,0.0,Cloudy,12.0
6,2,17.7,63.4,1010.5,29.8,58.4,0.0,Cloudy,20.0
7,11,32.0,42.2,1020.5,23.4,0.0,9.7,Sunny,31.3
4,15,7.7,86.9,1034.7,41.7,29.9,4.7,Sunny,8.5
7,20,28.7,41.1,998.6,28.5,63.2,0.7,Cloudy,29.6
11,23,1.3,86.2,1007.9,18.3,55.5,0.1,Cloudy,-0.1
8,0,18.0,53.6,1008.3,16.4,32.0,0.0,Sunny,20.8
11,20,13.2,67.0,1029.3,39.7,0.0,0.1,Sunny,12.9
1,2,-10.7,100.0,1012.6,12.4,94.5,0.5,Snowy,-8.4
6,19,24.1,47.9,1002.1,31.2,39.1,0.3,Sunny,24.8
8,1,26.3,27.5,1019.7,16.6,12.8,0.5,Sunny,29.7
5,8,15.7,64.8,1008.1,19.4,61.7,1.6,Cloudy,14.3
4,18,12.8,69.4,998.3,23.2,93.3,0.3,Cloudy,11.3
2,14,5.3,70.3,1002.3,34.6,62.9,4.0,Rainy,4.2
6,17,31.7,24.6,1033.8,30.3,0.0,5.5,Sunny,32.5
6,10,28.0,57.8,1017.6,14.9,36.2,6.1,Sunny,31.2
11,22,-3.2,94.7,1014.3,11.0,83.6,1.4,Snowy,0.2
1,15,1.7,80.2,1010.0,12.8,58.1,4.0,Cloudy,-2.0
9,21,15.0,51.1,1016.5,22.0,16.2,0.0,Sunny,16.0
12,16,4.8,69.6,1016.4,13.5,20.6,5.4,Sunny,-0.5
11,4,1.5,95.8,1016.5,27.4,43.5,0.7,Cloudy,3.4
6,11,30.0,41.3,1014.4,7.1,39.8,6.1,Sunny,32.6
3,10,0.9,78.2,1023.4,25.9,34.3,5.9,Sunny,1.3
4,14,22.3,56.7,1013.3,6.1,30.2,7.0,Sunny,22.9
12,2,-5.1,84.5,1001.3,29.5,66.0,0.0,Snowy,-4.5
11,0,5.3,92.0,1005.7,20.7,76.7,0.0,Rainy,4.4
4,19,15.3,75.5,989.3,39.3,84.9,0.0,Rainy,16.6
3,15,15.2,57.5,1037.3,50.7,0.0,8.1,Sunny,15.3
10,1,8.1,66.6,1023.4,19.2,51.3,0.0,Cloudy,10.2
3,1,4.6,51.9,1003.0,28.6,74.4,0.5,Cloudy,4.9
3,2,1.1,68.6,1009.6,9.9,28.9,0.9,Sunny,0.0
4,7,10.1,56.5,1005.4,22.1,55.9,0.9,Cloudy,7.8
7,23,30.8,40.1,1031.5,24.6,0.0,0.0,Sunny,28.0
4,14,21.6,49.4,996.0,27.1,56.4,4.5,Cloudy,24.4
9,6,18.3,44.1,1014.4,13.0,33.5,0.1,Sunny,18.0
1,5,-11.3,99.2,1011.7,28.1,68.2,0.0,Snowy,-10.2
8,8,19.0,61.6,1022.9,24.7,31.7,3.5,Sunny,22.7
7,19,28.7,47.2,1011.8,26.7,45.0,0.6,Cloudy,28.2
2,0,-4.7,73.1,991.9,39.1,87.2,0.0,Snowy,-5.4
8,7,20.1,53.5,1010.0,12.5,32.3,2.0,Sunny,20.4
1,22,-4.4,77.8,1001.3,38.3,62.5,0.0,Snowy,-3.9
11,22,8.4,81.5,1014.0,16.6,34.0,0.2,Sunny,12.3
12,2,-3.3,97.9,1030.2,27.5,29.9,0.0,Sunny,-0.0
9,3,8.6,63.1,992.1,40.8,100.0,0.6,Cloudy,10.3
9,14,24.6,40.5,1003.4,21.2,30.9,7.4,Sunny,27.7
2,5,-7.6,91.8,1006.4,4.0,56.3,0.3,Cloudy,-7.4
7,14,30.4,16.8,1008.4,25.0,23.4,7.9,Sunny,31.5
10,20,10.3,72.8,1021.9,31.4,36.0,0.0,Sunny,10.3
3,2,-2.9,86.6,1010.9,29.2,60.8,0.0,Snowy,-4.7
7,20,21.0,63.2,1018.0,21.4,57.9,0.4,Cloudy,23.6
12,20,-0.6,75.0,1005.5,19.0,72.0,0.0,Snowy,0.8
10,13,15.6,55.5,1015.8,22.0,26.7,8.4,Sunny,16.1
9,19,8.8,56.7,1022.3,30.0,19.3,0.0,Sunny,9.3
4,13,26.0,35.9,1004.2,35.7,30.8,7.6,Sunny,23.8
12,3,-1.6,75.5,1022.4,22.9,51.9,1.0,Cloudy,-2.8
1,11,0.7,93.9,1013.6,11.4,60.1,4.3,Snowy,1.8
2,16,5.1,70.3,1025.5,21.3,3.5,6.5,Sunny,4.7
1,6,-9.7,100.0,1010.6,19.2,72.9,0.5,Snowy,-9.6
12,8,6.7,71.2,1017.6,5.1,19.9,4.4,Sunny,7.0
5,2,20.6,41.4,1012.5,18.8,62.5,0.0,Cloudy,19.9
5,12,24.8,46.1,1011.8,18.1,19.5,8.1,Sunny,23.6
11,14,15.1,68.3,1016.1,20.4,40.8,6.1,Cloudy,12.7
7,17,30.9,26.5,1019.4,20.8,12.8,4.9,Sunny,31.2
9,18,16.7,68.1,998.0,42.3,65.8,0.9,Cloudy,18.3
9,0,12.2,58.3,1030.2,39.6,10.6,0.0,Sunny,9.7
3,5,1.3,78.2,990.7,33.9,94.6,0.0,Snowy,1.7
3,22,0.2,90.0,1004.8,17.1,98.2,0.4,Snowy,1.2
3,1,-1.7,80.9,1011.9,6.3,69.8,0.1,Snowy,-3.0
4,23,7.4,74.3,1017.9,22.3,66.8,0.0,Rainy,10.5
8,13,29.6,37.5,1031.9,26.7,0.0,9.4,Sunny,29.4
6,5,20.1,56.2,990.7,47.4,77.5,0.0,Cloudy,20.4
8,13,25.7,22.7,1006.9,29.9,27.3,7.2,Sunny,25.9
1,3,-10.7,82.7,987.5,35.6,100.0,0.4,Snowy,-13.4
8,20,19.0,62.7,1013.4,11.0,64.0,0.7,Cloudy,21.3
4,7,14.4,73.8,1016.3,16.0,43.5,1.9,Cloudy,13.1
11,2,-9.4,90.0,1032.1,42.0,28.3,0.3,Sunny,-9.3
1,18,5.6,74.1,1014.4,26.6,57.7,1.2,Cloudy,7.2
8,13,35.5,34.7,1025.5,13.6,0.0,10.3,Sunny,38.6
4,19,12.3,73.4,1020.0,17.9,37.3,0.1,Sunny,10.9
6,16,18.9,36.4,1007.8,16.1,31.3,5.8,Sunny,18.6
8,7,21.1,44.5,996.1,21.1,42.7,1.5,Cloudy,24.1
4,23,7.5,70.4,1016.3,12.1,60.2,0.7,Rainy,8.8
3,13,6.8,81.9,995.1,36.9,68.3,4.7,Rainy,8.5
9,5,12.7,90.9,1028.5,28.4,38.3,0.4,Sunny,11.3
3,22,8.1,70.5,1011.1,2.0,56.7,0.0,Cloudy,7.9
9,21,20.1,40.8,1027.3,52.2,27.3,0.5,Sunny,20.3
2,15,2.0,86.1,1007.2,21.0,68.7,3.5,Snowy,0.9
2,18,-3.5,100.0,1016.2,16.8,79.2,0.6,Snowy,-6.0
2,13,4.4,79.5,1015.5,6.2,62.4,4.0,Rainy,3.9
6,18,26.3,36.5,1012.5,14.7,28.2,1.8,Sunny,29.2
3,2,1.0,93.1,1007.8,16.9,56.6,0.0,Cloudy,1.6
9,9,18.4,64.0,1017.7,2.5,16.2,5.1,Sunny,21.4
4,18,17.0,49.2,1001.9,16.8,52.7,0.6,Cloudy,17.9
1,8,5.7,80.2,998.5,35.8,69.8,2.2,Rainy,4.9
4,19,16.8,69.8,1027.9,45.4,40.2,0.4,Cloudy,19.6
1,12,3.0,92.3,1021.7,25.4,62.7,4.8,Rainy,3.9
5,6,15.3,61.4,1013.8,21.8,39.0,0.6,Sunny,17.5
4,13,16.4,56.9,1033.0,34.7,0.0,9.9,Sunny,14.9
8,8,28.8,54.0,1009.8,15.2,50.3,2.7,Cloudy,31.2
8,22,18.6,45.0,1028.9,39.8,0.0,0.0,Sunny,21.0
7,18,29.2,45.6,1015.1,27.8,17.4,1.3,Sunny,30.2
3,14,11.2,54.5,1000.7,37.2,41.9,7.0,Cloudy,10.3
1,19,-2.5,99.3,1035.2,30.1,34.2,0.6,Sunny,-2.0
1,13,-1.7,85.0,1024.9,25.7,59.2,4.3,Cloudy,-0.1
12,23,-3.1,100.0,1011.5,16.0,72.1,0.1,Snowy,-2.2
11,5,0.5,89.1,1021.7,20.4,42.7,0.0,Cloudy,2.1
3,20,7.0,62.3,1008.2,20.9,28.0,0.0,Sunny,9.3
6,3,16.2,75.0,1022.9,30.5,45.8,0.0,Cloudy,15.5
7,7,29.3,56.5,984.3,54.5,70.9,1.2,Cloudy,27.8
6,16,25.8,55.1,1000.8,40.2,58.7,3.8,Cloudy,26.2
6,8,31.0,30.9,1024.8,23.5,0.0,4.8,Sunny,30.9
6,0,11.9,64.0,1010.0,4.7,61.9,0.0,Cloudy,13.9
3,23,2.5,82.7,1015.5,17.9,51.8,0.0,Cloudy,1.1
6,19,27.6,36.6,996.8,46.5,49.0,0.5,Cloudy,29.9
8,13,26.7,61.8,1035.2,34.8,17.3,8.7,Sunny,29.7
11,10,9.7,71.9,1027.3,34.6,60.5,4.1,Rainy,10.2
11,20,10.1,42.8,1010.6,20.5,46.9,0.0,Cloudy,10.7
2,2,-15.0,100.0,1008.1,19.4,76.0,0.2,Snowy,-15.9
5,8,21.0,50.0,1025.4,26.9,16.5,3.8,Sunny,20.5
1,13,-6.2,93.5,1036.8,33.2,21.9,8.5,Sunny,-6.4
12,8,-4.0,87.3,1024.4,7.5,29.7,3.0,Sunny,-0.9
1,3,-1.3,95.0,1039.1,34.4,19.1,0.0,Sunny,-0.9
5,3,10.9,79.9,1001.9,22.2,60.9,0.3,Rainy,9.0
12,7,-6.4,97.4,1003.2,32.6,92.7,0.0,Snowy,-5.4
3,1,-1.6,84.0,998.7,28.3,64.1,0.0,Snowy,0.4
